"id","name","display_name","level","display_order","medium_of_instruction","parent_offering_id","root_offering_id"
518,"Year 10","Year 10",2,71,"1",515,107
519,"Economics","Economics",3,614,"1",518,107
521,"Economics","Economics",3,614,"1",520,107
523,"Mathematics","Mathematics",3,655,"1",522,107
525,"Mathematics","Mathematics",3,655,"1",524,107
527,"Mathematics","Mathematics",3,655,"1",526,107
505,"Physics C Mechanics","Physics C Mechanics",3,604,"1",497,107
510,"Computer Science A","Computer Science A",3,609,"1",497,107
499,"Viteee","VITEEE",2,27,"1",220,6
500,"Viteee   Chemistry","Chemistry",3,578,"1",499,6
501,"Viteee   Mathematics","Mathematics",3,579,"1",499,6
502,"Viteee   Physics","Physics",3,580,"1",499,6
528,"Science","Science",3,656,"1",522,107
529,"Science","Science",3,656,"1",524,107
530,"Science","Science",3,656,"1",526,107
531,"English Language","English Language",3,657,"1",516,107
532,"English Language","English Language",3,657,"1",518,107
533,"English Language","English Language",3,657,"1",520,107
534,"English Literature","English Literature",3,678,"1",516,107
535,"English Literature","English Literature",3,678,"1",518,107
536,"English Literature","English Literature",3,678,"1",520,107
537,"History","History",3,679,"1",516,107
538,"History","History",3,679,"1",518,107
539,"History","History",3,679,"1",520,107
540,"Geography","Geography",3,680,"1",516,107
541,"Geography","Geography",3,680,"1",518,107
542,"Geography","Geography",3,680,"1",520,107
543,"Accounts","Accounts",3,681,"1",516,107
544,"Accounts","Accounts",3,681,"1",518,107
545,"Accounts","Accounts",3,681,"1",520,107
546,"Biology","Biology",3,682,"1",516,107
547,"Biology","Biology",3,682,"1",518,107
548,"Biology","Biology",3,682,"1",520,107
549,"Business Studies","Business Studies",3,683,"1",516,107
550,"Business Studies","Business Studies",3,683,"1",518,107
551,"Business Studies","Business Studies",3,683,"1",520,107
552,"Chemistry","Chemistry",3,684,"1",516,107
553,"Chemistry","Chemistry",3,684,"1",518,107
554,"Chemistry","Chemistry",3,684,"1",520,107
555,"Physics","Physics",3,685,"1",516,107
556,"Physics","Physics",3,685,"1",518,107
557,"Physics","Physics",3,685,"1",520,107
558,"Mathematics","Mathematics",3,686,"1",516,107
559,"Mathematics","Mathematics",3,686,"1",518,107
560,"Mathematics","Mathematics",3,686,"1",520,107
561,"Year 11","Year 11",2,73,"1",515,107
